parameter,mean,median,std,q2_5,q97_5
θ[1],0.4485400639909041,0.4344889205377698,0.8834421564855282,-1.258193642200524,2.2123087337110507
θ[2],0.4394617935770181,0.43212570193925953,0.8764163022821714,-1.2548777447144641,2.2240938373218593
θ[3],0.4009528431084707,0.40186567039464505,0.9204901592178463,-1.320312098304671,2.259853761097324
θ[4],0.488015964794917,0.4776686708611445,0.8467118632246203,-1.2123489737490818,2.15397993157904
θ[5],0.4767349242353518,0.4430386058111296,0.8640698879899313,-1.0936322106089584,2.161534960020939
θ[6],0.4206078976803484,0.44716986311162804,0.8882144895122903,-1.3253215631212412,2.178449372020647
θ[7],0.4776256803306304,0.4626418206086763,0.8749898596773342,-1.271377499420931,2.1705400730714492
θ[8],0.46858224834444123,0.4454238551373515,0.8628767792425865,-1.1334235908205623,2.1801800855735185
θ[9],0.4808732183732396,0.46132713461448777,0.8555208613471298,-1.1529117873815846,2.2732551303049364
θ[10],0.4968083098741574,0.5057261814002405,0.88370794829158,-1.2075482178432742,2.1367182899448642
